"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","239","testPostCreateUser","Reqres Automation API","Thu Nov 06 09:02:47 UTC 2025","passed","Thu Nov 06 09:02:47 UTC 2025","apiauto.TestReqres","Test Get dan Post","apiauto.TestReqres","testPostCreateUser"
"","144","testPostCreateUser_LongName","Reqres Automation API","Thu Nov 06 09:02:48 UTC 2025","passed","Thu Nov 06 09:02:48 UTC 2025","apiauto.TestBoundaryCases","Boundary Tests","apiauto.TestBoundaryCases","testPostCreateUser_LongName"
"","132","testPostCreateUser_WrongType","Reqres Automation API","Thu Nov 06 09:02:48 UTC 2025","passed","Thu Nov 06 09:02:48 UTC 2025","apiauto.TestNegativeCases","Negative Tests","apiauto.TestNegativeCases","testPostCreateUser_WrongType"
"","222","testGetUsers_PageMax","Reqres Automation API","Thu Nov 06 09:02:48 UTC 2025","passed","Thu Nov 06 09:02:48 UTC 2025","apiauto.TestBoundaryCases","Boundary Tests","apiauto.TestBoundaryCases","testGetUsers_PageMax"
"","223","testGetUsers_PageZero","Reqres Automation API","Thu Nov 06 09:02:48 UTC 2025","passed","Thu Nov 06 09:02:48 UTC 2025","apiauto.TestBoundaryCases","Boundary Tests","apiauto.TestBoundaryCases","testGetUsers_PageZero"
"","451","testPutUser","Reqres Automation API","Thu Nov 06 09:02:47 UTC 2025","passed","Thu Nov 06 09:02:47 UTC 2025","apiauto.TestReqres","Test Get dan Post","apiauto.TestReqres","testPutUser"
"","2017","testDeleteUser","Reqres Automation API","Thu Nov 06 09:02:43 UTC 2025","passed","Thu Nov 06 09:02:45 UTC 2025","apiauto.TestReqres","Test Get dan Post","apiauto.TestReqres","testDeleteUser"
"","1531","testGetListUsers","Reqres Automation API","Thu Nov 06 09:02:45 UTC 2025","passed","Thu Nov 06 09:02:46 UTC 2025","apiauto.TestReqres","Test Get dan Post","apiauto.TestReqres","testGetListUsers"
"","479","testPatchUser","Reqres Automation API","Thu Nov 06 09:02:46 UTC 2025","passed","Thu Nov 06 09:02:47 UTC 2025","apiauto.TestReqres","Test Get dan Post","apiauto.TestReqres","testPatchUser"
"","158","testPostCreateUser_MissingField","Reqres Automation API","Thu Nov 06 09:02:48 UTC 2025","passed","Thu Nov 06 09:02:48 UTC 2025","apiauto.TestNegativeCases","Negative Tests","apiauto.TestNegativeCases","testPostCreateUser_MissingField"
"","212","testGetUser_InvalidId","Reqres Automation API","Thu Nov 06 09:02:47 UTC 2025","passed","Thu Nov 06 09:02:48 UTC 2025","apiauto.TestNegativeCases","Negative Tests","apiauto.TestNegativeCases","testGetUser_InvalidId"
